seed,frame,n_obs,ddpm_rmse,ddpm_mag_err,ddpm_ang_err_deg,vcnn_rmse,vcnn_mag_err,vcnn_ang_err_deg,stream_full_rmse,stream_full_mag_err,stream_full_ang_err_deg,divergentunet_rmse,divergentunet_mag_err,divergentunet_ang_err_deg,unconstrained_rmse,unconstrained_mag_err,unconstrained_ang_err_deg,linstream_rmse,linstream_mag_err,linstream_ang_err_deg
11,2288,139,0.058988727673036534,0.055058691650629044,17.2960147857666,0.02490681945518087,0.015325967222452164,13.626649856567383,0.053506028089080206,0.034532275050878525,25.25965118408203,0.07457223159925173,0.04345456883311272,38.154754638671875,0.08643258946686437,0.08886650949716568,25.573123931884766,0.06447966085132693,0.055571578443050385,18.556377410888672
12,11541,125,0.16026063540571955,0.03869917243719101,84.50601959228516,0.10816322693642075,0.06578397005796432,86.43852233886719,0.07236158736395633,0.06042034924030304,33.9796257019043,0.13313100755114524,0.043974969536066055,74.6747055053711,0.054049145922862384,0.05381615459918976,20.098840713500977,0.11683530165977611,0.07224759459495544,84.8570327758789
13,16241,144,0.09199832109814077,0.04311379790306091,50.400386810302734,0.050352652685969626,0.03576840087771416,23.289724349975586,0.06510596702039903,0.035533320158720016,34.90363693237305,0.07889589344856798,0.03754669427871704,39.055335998535156,0.05873775804644761,0.05042347311973572,25.852582931518555,0.04813450396758534,0.03206513077020645,25.562379837036133
14,4428,123,0.19111292439890512,0.16503670811653137,102.57166290283203,0.08698235300435883,0.08803712576627731,15.253196716308594,0.09842288144217357,0.10062804073095322,24.314586639404297,0.18670515369907842,0.17811255156993866,116.96671295166016,0.108713185324719,0.08078086376190186,42.19769287109375,0.28735328702886953,0.07971665263175964,124.33121490478516
15,16300,129,0.09262364339962169,0.08462189882993698,26.538848876953125,0.054693794485436445,0.039943844079971313,24.390361785888672,0.07879832671097561,0.06122985854744911,29.867637634277344,0.08556335380950573,0.08469218760728836,24.44830322265625,0.07129735455591757,0.05209733918309212,26.23539161682129,0.0748554810009732,0.056093137711286545,34.59208679199219
16,9304,131,0.22658659644288348,0.2146008312702179,36.230953216552734,0.054460668327088214,0.03658396750688553,14.899096488952637,0.08668649939177737,0.04784822463989258,27.442590713500977,0.2069172098299574,0.1900111436843872,33.89473342895508,0.07247206011858864,0.06269130855798721,26.27383041381836,0.08195673095909846,0.04399193823337555,29.924535751342773
17,13868,139,0.07254513380471837,0.048323679715394974,56.75275802612305,0.06097049971436331,0.048440225422382355,40.316856384277344,0.05863100500531838,0.03975675627589226,49.2038459777832,0.06605461644553733,0.05092184990644455,40.739139556884766,0.054014176262942824,0.03540562838315964,43.28533935546875,0.06909275694158015,0.048931729048490524,58.00571823120117
18,16237,117,0.11245273532568276,0.1056235134601593,38.4256706237793,0.06946278726517748,0.060502611100673676,30.904335021972656,0.07328892827685016,0.043105240911245346,28.934762954711914,0.1056571723176504,0.09603473544120789,35.31919860839844,0.10946586225356715,0.07131099700927734,43.778282165527344,0.098292432429786,0.07100073248147964,41.337276458740234
19,11501,144,0.06763874684634646,0.0514625646173954,31.7627010345459,0.02093218959102489,0.01833326369524002,10.982287406921387,0.05517674940375796,0.03678854554891586,26.306690216064453,0.05445566257105347,0.048001401126384735,21.44357681274414,0.05930225350733899,0.056098680943250656,19.439817428588867,0.06106439867135541,0.05678792670369148,19.543792724609375
20,16234,134,0.15143536772929103,0.08706402778625488,40.772666931152344,0.06142325849759199,0.05116397142410278,19.389524459838867,0.07954282313671027,0.0596802644431591,24.33497428894043,0.1273927186080135,0.08478572964668274,34.43980407714844,0.08171764265026885,0.06626474112272263,27.053300857543945,0.08658037403185741,0.06877017021179199,28.142091751098633
21,6794,135,0.042310821259371995,0.02963530644774437,55.452144622802734,0.0502149161999351,0.03097549080848694,53.298851013183594,0.042175128731094275,0.024029921740293503,52.76142501831055,0.039955925574418065,0.027099210768938065,56.08060073852539,0.05853541172717866,0.04692094027996063,39.15951156616211,0.11431329337494427,0.09193102270364761,69.79115295410156
22,13919,145,0.14542683276645332,0.05590527877211571,56.12175369262695,0.05003936221478692,0.0453483946621418,11.817583084106445,0.0659012665356255,0.06261876970529556,19.930171966552734,0.12615937228306773,0.0713757872581482,46.10443115234375,0.08451391655230121,0.04940149188041687,27.61664390563965,0.04264336368000898,0.029805351048707962,12.839519500732422
23,2124,140,0.08435807017714415,0.03931236267089844,51.049964904785156,0.026223446140413206,0.022086672484874725,16.712831497192383,0.05587974392137801,0.03214707225561142,38.917396545410156,0.07890860898588592,0.03590717539191246,50.35421371459961,0.053031260059147184,0.05032176896929741,22.93020248413086,0.08952207544514203,0.045851077884435654,56.03300476074219
24,6930,141,0.07699893069818202,0.060096289962530136,30.210147857666016,0.041090198964247926,0.02618514932692051,19.76485252380371,0.06599220420714508,0.036361388862133026,33.49153518676758,0.06379891554752702,0.04694821313023567,26.986316680908203,0.07183201861154842,0.04622580483555794,34.34164047241211,0.08276041579248651,0.06722022593021393,37.65131759643555
25,9247,144,0.041101731510773135,0.027983572334051132,32.56903839111328,0.028993784601362038,0.02402346208691597,15.756418228149414,0.040403000678935895,0.03168502822518349,30.109506607055664,0.0501467384614584,0.03557879105210304,36.76871109008789,0.047734616589040144,0.04077860713005066,25.15585708618164,0.04737137628710898,0.034268997609615326,31.920440673828125
26,16184,113,0.0886323508357338,0.05177244544029236,35.71699905395508,0.05655576812369737,0.048552993685007095,12.546072006225586,0.05678746634301393,0.03688593581318855,23.343908309936523,0.07898513660477202,0.04798165336251259,31.131921768188477,0.14228758129998295,0.07631823420524597,67.68516540527344,0.0756519557689787,0.045345697551965714,27.55790901184082
27,2068,131,0.12039627214097712,0.09665205329656601,74.98663330078125,0.0364449861891638,0.02254677563905716,16.87635612487793,0.07078607788840363,0.0701703354716301,32.003658294677734,0.11601204633679074,0.10897067189216614,69.78370666503906,0.07359954677444912,0.06384863704442978,23.59427833557129,0.062178276029472894,0.059964869171381,23.3449649810791
