seed,frame,n_obs,n_ang_cells,ddpm_rmse,ddpm_mag_err,ddpm_ang_err_deg,vcnn_rmse,vcnn_mag_err,vcnn_ang_err_deg
29,1836,139,3600,0.13652555313713885,0.04498786027992653,83.41549074777835,0.10076133881904073,0.05927400791134246,59.37636196893765
30,207,141,3597,0.06617281561880782,0.04059106448605799,53.550725927116474,0.03287358129770516,0.025342788266856014,21.39170809543847
31,1077,141,3590,0.07825428288056156,0.03424736738548898,64.60161902496708,0.02934259267648083,0.02362828726996075,14.27595685365429
32,1725,144,3659,0.12766088833830644,0.0728812153598632,41.09974051078591,0.06796502991705723,0.05935036353074535,27.556150396369418
33,1727,99,3691,0.1844563937671824,0.10236404262877605,127.2361433130333,0.0746330436803786,0.07236932408235622,14.229942278503739
34,123,144,3624,0.08384520836758415,0.049738393008805545,46.93458267636253,0.026300409462583052,0.021306998475773224,12.035686434402955
35,202,140,3668,0.17421699218562287,0.16506267850276676,78.78147648288102,0.05640051335745422,0.03965985548245446,9.811814481966891
36,752,138,3596,0.044042663005620174,0.03946435370704501,25.718431119451644,0.04052703699020272,0.039270575769462746,22.56909494487629
37,313,130,3610,0.03318314560326962,0.026104710382071215,25.972616493145836,0.016673477445045642,0.013638285941811634,11.03451686617936
38,490,130,3542,0.1953657233262002,0.19645596398173903,45.95536291758535,0.11254864854738991,0.12142448939519179,11.336087723029424
39,1920,137,3701,0.07751376207647073,0.046929290321512114,35.905467567145685,0.043696577302653535,0.03701995691876091,15.306775307280246
40,1103,128,3670,0.1341124299246171,0.11178138787860437,31.736387691446886,0.038447467297877874,0.03100322100541357,11.516692188937254
41,1305,130,3606,0.08055561972162575,0.057487365353445986,50.943168675775944,0.052493682833526956,0.04667870555227484,14.419981122793896
42,175,139,3655,0.07034369360604699,0.06330371625333792,37.443907633255456,0.05952470831792067,0.0350856691680328,33.19714221159553
43,992,138,3561,0.13845939642016664,0.12923904415459808,77.68970431912722,0.05866007015939202,0.053328455819819674,8.722416414168615
44,1310,126,3669,0.10069882481966126,0.036336390431719025,63.223519667878314,0.06264372621435224,0.048206647396316346,18.00752876842712
45,1816,122,3686,0.1725177874778905,0.10938820807485553,68.40603796270192,0.15868464928435755,0.11145050754533771,68.20476641824096
46,987,149,3674,0.08132487960786908,0.05756048961969088,33.81028298832305,0.030161318145986608,0.022829464385947653,11.19581972057596
47,191,122,3565,0.0409607450346405,0.018352477327424777,50.66585787072431,0.0336511641692105,0.024294855715487645,48.14638447607895
48,255,131,3423,0.06965861533294727,0.059495191923897045,24.230647095131527,0.04349870383536152,0.03378946538422576,16.279343874464377
49,83,139,3626,0.06726789707002469,0.03300587240372896,37.63231739336309,0.01946473896707332,0.016124098048625014,8.340966135223299
50,1535,137,3556,0.05928521061654734,0.035595031433418085,52.274284970098265,0.035769791466650686,0.03195038650357778,19.729462608334227
51,755,136,3473,0.03589554269849181,0.02651210100182111,35.40464079190066,0.04202627755639342,0.031070069536095212,53.70711657978052
52,1895,136,3555,0.060785257594880376,0.04346584239402397,52.63183821892942,0.03684442436079749,0.027952443158178946,23.229922549623044
53,1486,148,3571,0.06256397879362684,0.05555595722597734,45.56635815819081,0.027511606511553516,0.018659644172321504,13.77250581969421
54,610,137,3685,0.09646145166626338,0.08990695266415333,20.232695637161687,0.031570517094528835,0.025033907737866127,8.225889198979718
55,1893,128,3672,0.08031106954082197,0.04810536333476561,51.618969587423834,0.0433239878450937,0.035971752639429144,15.261364274021183
56,721,139,3666,0.09014024137614936,0.02629399458064662,85.88135933542755,0.03464729617091805,0.02734576146737748,21.4808342228003
57,128,130,3582,0.038935201213738,0.0257697522502793,45.36009405291664,0.034478027473556244,0.027018371736497612,31.979536068863244
58,1002,131,3664,0.15690429644926612,0.10129462038512141,29.90600481768879,0.06570922647370638,0.03358010256536568,34.89475443215223
59,1550,140,3615,0.12106568435560147,0.0993946981991182,61.49425447451942,0.056214314979736175,0.04630396260115803,29.858434761825357
60,342,141,3524,0.10785168331957545,0.041086172036543155,55.42480689680968,0.048700661317029076,0.047348160188075604,11.835761997146658
61,831,141,3624,0.05175387870517236,0.029134966052580657,39.13837460640246,0.023241186320263885,0.01808372916902269,14.74315006311456
